date,price
2010년01월26일,1453.8
2010년01월27일,1452.9
2010년01월28일,1451.3
2010년01월29일,1450.71
2010년01월30일,1449.79
2010년01월31일,1449.17
2010년02월01일,1447.29
2010년02월02일,1444.85
2010년02월03일,1444.15
2010년02월04일,1443.24
2010년02월05일,1443.08
2010년02월06일,1442.83
2010년02월07일,1442.76
2010년02월08일,1442.17
2010년02월09일,1442.14
2010년02월10일,1442.27
2010년02월11일,1442.12
2010년02월12일,1442.33
2010년02월13일,1442.41
2010년02월14일,1442.9
2010년02월15일,1442.33
2010년02월16일,1441.36
2010년02월17일,1441.51
2010년02월18일,1440.59
2010년02월19일,1440.9
2010년02월20일,1440.92
2010년02월21일,1441
2010년02월22일,1440.88
2010년02월23일,1442.45
2010년02월24일,1443.68
2010년02월25일,1443.84
2010년02월26일,1445.17
2010년02월27일,1445.58
2010년02월28일,1446.28
2010년03월01일,1446.61
2010년03월02일,1448.29
2010년03월03일,1450.28
2010년03월04일,1452.04
2010년03월05일,1454.54
2010년03월06일,1456.08
2010년03월07일,1457.19
2010년03월08일,1457.83
2010년03월09일,1459.04
2010년03월10일,1460.79
2010년03월11일,1461.55
2010년03월12일,1463.82
2010년03월13일,1466.05
2010년03월14일,1467.2
2010년03월15일,1468.32
2010년03월16일,1471.27
2010년03월17일,1474.02
2010년03월18일,1474.97
2010년03월19일,1476.91
2010년03월20일,1478.05
2010년03월21일,1478.84
2010년03월22일,1479.42
2010년03월23일,1479.93
2010년03월24일,1481.19
2010년03월25일,1481.31
2010년03월26일,1482.19
2010년03월27일,1482.89
2010년03월28일,1483.34
2010년03월29일,1483.22
2010년03월30일,1482.96
2010년03월31일,1483.25
2010년04월01일,1482.78
2010년04월02일,1483.97
2010년04월03일,1484.29
2010년04월04일,1484.61
2010년04월05일,1484.72
2010년04월06일,1486.39
2010년04월07일,1488.02
2010년04월08일,1488.9
2010년04월09일,1491.52
2010년04월10일,1493.47
2010년04월11일,1494.84
2010년04월12일,1496.39
2010년04월13일,1503.55
2010년04월14일,1509.05
2010년04월15일,1512.54
2010년04월16일,1515.93
2010년04월17일,1518.36
2010년04월18일,1519.57
2010년04월19일,1520.38
2010년04월20일,1521.05
2010년04월21일,1522.27
2010년04월22일,1522.65
2010년04월23일,1523.48
2010년04월24일,1523.91
2010년04월25일,1524.38
2010년04월26일,1524.27
2010년04월27일,1523.34
2010년04월28일,1523.35
2010년04월29일,1523.18
2010년04월30일,1523.39
2010년05월01일,1523.88
2010년05월02일,1523.9
2010년05월03일,1523.91
2010년05월04일,1525.42
2010년05월05일,1526.3
2010년05월06일,1526.27
2010년05월07일,1526.53
2010년05월08일,1526.77
2010년05월09일,1526.86
2010년05월10일,1526.56
2010년05월11일,1526.45
2010년05월12일,1526.77
2010년05월13일,1526.4
2010년05월14일,1526.5
2010년05월15일,1526.38
2010년05월16일,1526.5
2010년05월17일,1526.05
2010년05월18일,1524.76
2010년05월19일,1523.11
2010년05월20일,1522.63
2010년05월21일,1522.18
2010년05월22일,1521.99
2010년05월23일,1521.79
2010년05월24일,1521.25
2010년05월25일,1518.18
2010년05월26일,1515.9
2010년05월27일,1514.08
2010년05월28일,1511.89
2010년05월29일,1510.39
2010년05월30일,1509.6
2010년05월31일,1508.47
2010년06월01일,1507.21
2010년06월02일,1506.1
2010년06월03일,1505.27
2010년06월04일,1504.65
2010년06월05일,1504.05
2010년06월06일,1503.7
2010년06월07일,1503.39
2010년06월08일,1504.18
2010년06월09일,1504.03
2010년06월10일,1503.94
2010년06월11일,1504.16
2010년06월12일,1504.13
2010년06월13일,1504.24
2010년06월14일,1504.41
2010년06월15일,1505.28
2010년06월16일,1505.93
2010년06월17일,1506.25
2010년06월18일,1506.85
2010년06월19일,1507.24
2010년06월20일,1507.48
2010년06월21일,1508.3
2010년06월22일,1511.72
2010년06월23일,1513.64
2010년06월24일,1515.16
2010년06월25일,1517.5
2010년06월26일,1518.44
2010년06월27일,1518.91
2010년06월28일,1518.86
2010년06월29일,1519.42
2010년06월30일,1520.21
2010년07월01일,1521.36
2010년07월02일,1521.75
2010년07월03일,1522.02
2010년07월04일,1522.15
2010년07월05일,1522.35
2010년07월06일,1521.84
2010년07월07일,1521.43
2010년07월08일,1521.26
2010년07월09일,1521.09
2010년07월10일,1520.86
2010년07월11일,1520.74
2010년07월12일,1520.61
2010년07월13일,1519.52
2010년07월14일,1518.83
2010년07월15일,1518.37
2010년07월16일,1517.91
2010년07월17일,1517.51
2010년07월18일,1517.32
2010년07월19일,1516.63
2010년07월20일,1516.44
2010년07월21일,1516.06
2010년07월22일,1515.65
2010년07월23일,1515.36
2010년07월24일,1515.17
2010년07월25일,1515.06
2010년07월26일,1514.82
2010년07월27일,1514.92
2010년07월28일,1514.66
2010년07월29일,1514.52
2010년07월30일,1514.22
2010년07월31일,1514
2010년08월01일,1513.68
2010년08월02일,1513.35
2010년08월03일,1512.87
2010년08월04일,1512.57
2010년08월05일,1512.4
2010년08월06일,1512.84
2010년08월07일,1512.77
2010년08월08일,1512.74
2010년08월09일,1513.01
2010년08월10일,1514.91
2010년08월11일,1515.78
2010년08월12일,1516.49
2010년08월13일,1516.65
2010년08월14일,1516.79
2010년08월15일,1516.76
2010년08월16일,1516.84
2010년08월17일,1515.54
2010년08월18일,1514.67
2010년08월19일,1514.25
2010년08월20일,1513.93
2010년08월21일,1513.69
2010년08월22일,1513.41
2010년08월23일,1513.12
2010년08월24일,1511.42
2010년08월25일,1510.52
2010년08월26일,1509.8
2010년08월27일,1509.16
2010년08월28일,1508.43
2010년08월29일,1508.03
2010년08월30일,1507.42
2010년08월31일,1505.66
2010년09월01일,1503.47
2010년09월02일,1502.26
2010년09월03일,1501.43
2010년09월04일,1500.84
2010년09월05일,1500.53
2010년09월06일,1501.14
2010년09월07일,1500.47
2010년09월08일,1500.17
2010년09월09일,1499.87
2010년09월10일,1499.85
2010년09월11일,1499.62
2010년09월12일,1499.46
2010년09월13일,1499.43
